ID,Acronym,Full_Form,Category,Sub_Category,Year,Origin,Domain,Confidence,Motivation,Recursive_Marker,Examples
45,CoffeeScript,CoffeeScript (Coffee+Script),Self_Referential,Modern,2009,Jeremy Ashkenas,Language,Medium,Theme,Self,JS alternative
46,YARN,Yet Another Resource Negotiator,Full_Recursive,Apache,2012,Apache,BigData,Medium,Humor,Yet Another,Hadoop
47,Kubernetes,Kubernetes (Pilot/Greek),Self_Referential,Canonical,2015,Google,Cloud,High,Etymology,Self,Orchestration
48,Spark,Spark (lightning spark),Self_Referential,Canonical,2010,Apache,BigData,High,Metaphor,Self,Computing framework
49,Cassandra,Cassandra (Greek myth),Self_Referential,Folklore,2008,Apache,Database,Medium,Etymology,Self,Database
50,Hadoop,Hadoop (toy elephant name),Self_Referential,Folklore,2006,Doug Cutting,BigData,Medium,Etymology,Self,Framework
51,Docker,Docker (dock worker),Self_Referential,Modern,2013,Docker Inc,Container,High,Metaphor,Self,Container platform
52,Swift,Swift (bird),Self_Referential,Corporate,2014,Apple,Language,Medium,Metaphor,Self,Language
53,Rails,Ruby on Rails,Self_Referential,Canonical,2004,DHH,Framework,High,Metaphor,Self,Web framework
54,Spark,Apache Spark,Self_Referential,Apache,2010,Apache,BigData,High,Self,In-memory computing
55,Flink,Flink (nimble),Self_Referential,Apache,2014,Apache,BigData,Medium,German word,Self,Stream processing
56,Zeppelin,Apache Zeppelin (airship),Self_Referential,Apache,2015,Apache,Notebook,Medium,Metaphor,Self,Notebook
57,Hive,Apache Hive,Self_Referential,Apache,2008,Facebook,BigData,Medium,Self,Data warehouse
58,Pig,Apache Pig,Self_Referential,Apache,2006,Yahoo,BigData,Medium,Animal metaphor,Self,Data flow
59,Mahout,Apache Mahout (rider),Self_Referential,Apache,2009,Apache,ML,Medium,Sanskrit word,Self,ML library
60,Tika,Apache Tika (tika=cheerful),Self_Referential,Apache,2008,Apache,Content,Medium,Etymology,Self,Content detection
61,Nutch,Apache Nutch,Self_Referential,Apache,2002,Apache,Search,Medium,Self,Web crawler
62,Solr,Solr (solution),Self_Referential,Apache,2005,Apache,Search,Medium,Self,Search platform
63,Sqoop,Sqoop (sql+to+hadoop),Full_Recursive,Apache,2012,Apache,BigData,Medium,Humor,sql+to+hadoop,Data transfer
64,Flume,Apache Flume,Self_Referential,Apache,2009,Apache,Streaming,Medium,Animal metaphor,Self,Data collection
65,Kafka,Apache Kafka (writer),Self_Referential,Modern,2011,LinkedIn,Streaming,High,Self,Streaming platform
66,Storm,Apache Storm,Self_Referential,Apache,2011,Twitter,Streaming,Medium,Weather metaphor,Self,Streaming
67,Druid,Druid (priest),Self_Referential,Apache,2011,Apache,Analytics,Medium,Etymology,Self,OLAP
68,Atlas,Apache Atlas,Self_Referential,Apache,2015,Apache,Governance,Medium,Greek hero,Self,Metadata
69,Ambari,Apache Ambari,Self_Referential,Apache,2012,Apache,Management,Medium,Management,Self,Management
70,Ranger,Apache Ranger,Self_Referential,Apache,2016,Apache,Security,Medium,Guardian,Self,Security
71,Knox,Apache Knox,Self_Referential,Apache,2013,Apache,Gateway,Medium,Gateway,Self,Gateway
72,Oozie,Oozie (workflow),Self_Referential,Apache,2012,Apache,Workflow,Medium,Humor,Self,Workflow
73,Zeppelin,Apache Zeppelin,Self_Referential,Apache,2015,Apache,Notebook,Medium,Airship,Self,Notebook
74,Impala,Impala (antelope),Self_Referential,Apache,2012,Cloudera,Query,Medium,Animal metaphor,Self,SQL engine
75,HBase,HBase (Hadoop Database),Self_Referential,Apache,2008,Apache,NoSQL,High,Project prefix,Self,NoSQL
